Model,Dataset,SMOTE,Precision,Recall,F1-Score,AUC Score,Accuracy
Anomaly (Isolation Forest),ECC,No,0.2787,0.3469,0.3091,0.9543,0.9973
Anomaly (Isolation Forest),ECC,Yes,0.0045,0.8163,0.0089,0.8622,0.6867
SVM,ECC,No,0.6216,0.2347,0.3407,0.9646,0.9984
SVM,ECC,Yes,1.0,0.1531,0.2655,0.9645,0.9985
CNN,ECC,No,0.7857,0.7857,0.7857,0.9761,0.9993
CNN,ECC,Yes,0.6159,0.8673,0.7203,0.9709,0.9988
Logistic Regression (LR),ECC,No,0.8289,0.6429,0.7241,0.9599,0.9992
Logistic Regression (LR),ECC,Yes,0.0579,0.9184,0.1089,0.971,0.9741
Decision Tree,ECC,No,0.7526,0.7449,0.7487,0.8722,0.9991
Decision Tree,ECC,Yes,0.3949,0.7857,0.5256,0.8918,0.9976
KNN,ECC,No,0.9186,0.8061,0.8587,0.9437,0.9995
KNN,ECC,Yes,0.4365,0.8776,0.5831,0.9484,0.9978
LSTM,ECC,No,0.8736,0.7755,0.8216,0.9795,0.9994
LSTM,ECC,Yes,0.5764,0.8469,0.686,0.9656,0.9987
VQC (Quantum),ECC,No,1.0,0.72,0.84,0.83,0.86
VQC (Quantum),ECC,Yes,1.0,0.72,0.84,0.83,0.86
Proposed Model (AutoEnc+Bagg+Boost),ECC,No,0.9111,0.8367,0.8723,0.9795,0.9996
Proposed Model (AutoEnc+Bagg+Boost),ECC,Yes,0.8737,0.8469,0.8601,0.982,0.9995
